Language,Key,Original Text (FR)
"ar","dashboardadmin.rsultats_5","résultats)"
"ar","dashboardadmin.ajouter_service","Ajouter un service"
"ar","dashboardadmin.placeholder_rechercher_par_titre_2","Rechercher par titre, prestataire, type..."
"ar","dashboardadmin.filtres_3","Filtres"
"ar","dashboardadmin.exporter_4","Exporter"
"ar","dashboardadmin.par_1","Par"
"ar","dashboardadmin.rservations","réservations"
"ar","dashboardadmin.suspendre_1","Suspendre"
"ar","dashboardadmin.ractiver_1","Réactiver"
"ar","dashboardadmin.voir_dtails_3","Voir détails"
"ar","dashboardadmin.modifier_4","Modifier"
"ar","dashboardadmin.envoyer_notification_4","Envoyer notification"
"ar","dashboardadmin.mettre_avant_3","Mettre en avant"
"ar","dashboardadmin.supprimer_5","Supprimer"
"ar","dashboardadmin.file_modration","File de modération"
"ar","dashboardadmin.grer_les_signalements","Gérer les signalements et contenus problématiques"
"ar","dashboardadmin.signal_par","Signalé par"
"ar","dashboardadmin.raison","Raison:"
"ar","dashboardadmin.approuver_1","Approuver"
"ar","dashboardadmin.supprimer_6","Supprimer"
"ar","dashboardadmin.avertir","Avertir"
"ar","dashboardadmin.aucun_signalement_attente_1","Aucun signalement en attente"
"ar","dashboardadmin.modifier_lutilisateur","Modifier l'utilisateur"
"ar","dashboardadmin.mettre_jour_les","Mettre à jour les informations de l'utilisateur"
"ar","dashboardadmin.nom","Nom"
"ar","dashboardadmin.prnom","Prénom"
"ar","dashboardadmin.email_1","Email"
"ar","dashboardadmin.tlphone","Téléphone"
"ar","dashboardadmin.type_dutilisateur","Type d'utilisateur"
"ar","dashboardadmin.visiteur","Visiteur"
"ar","dashboardadmin.artisan","Artisan"
"ar","dashboardadmin.guide","Guide"
"ar","dashboardadmin.organisateur","Organisateur"
"ar","dashboardadmin.statut_3","Statut"
"ar","dashboardadmin.actif_1","Actif"
"ar","dashboardadmin.inactif_1","Inactif"
"ar","dashboardadmin.suspendu_2","Suspendu"
"ar","dashboardadmin.entreprise","Entreprise"
"ar","dashboardadmin.biographie","Biographie"
"ar","dashboardadmin.annuler_2","Annuler"
"ar","dashboardadmin.enregistrer","Enregistrer"
"ar","dashboardadmin.suspendre_lutilisateur","Suspendre l'utilisateur"
"ar","dashboardadmin.suspendre_temporairement_compte","Suspendre temporairement le compte de"
"ar","dashboardadmin.dure_suspension_jours","Durée de suspension (jours)"
"ar","dashboardadmin.raison_suspension","Raison de la suspension *"
"ar","dashboardadmin.placeholder_indiquez_raison_cette","Indiquez la raison de cette suspension..."
"ar","dashboardadmin.annuler_3","Annuler"
"ar","dashboardadmin.suspendre_2","Suspendre"
"ar","artisanat.title_tissage_textile_traditionnel","Tissage et textile traditionnel"
"ar","artisanat.description_fouta_hak_tissus","Fouta, Haïk, tissus kabyles brodés à la main..."
"ar","artisanat.title_cramique_poterie_sud","Céramique et poterie du Sud"
"ar","artisanat.description_techniques_ancestrales_forme","Techniques ancestrales, formes géométriques uniques (ex. : Biskra, Ghardaïa)"
"ar","artisanat.title_peinture_calligraphie","Peinture et calligraphie"
"ar","artisanat.description_arabesque_art_contemporain","Arabesque, art contemporain amazigh..."
"ar","artisanat.artisanat_algrien","Artisanat algérien"
"ar","artisanat.dcouvrez_les_mtiers","Découvrez les métiers d'art qui font vibrer le patrimoine vivant de l'Algérie."
"ar","artisanat.explorer_cette_catgorie","Explorer cette catégorie"
"ar","artisanat.boutique_ligne","Boutique en ligne"
"ar","artisanat.bientt_disponible_achetez","Bientôt disponible : achetez directement auprès des artisans algériens 
              et soutenez le patrimoine vivant de notre pays."
"ar","artisanat.acheter_produit_local","Acheter un produit local (à venir)"
"ar","artisanat.tre_notifi_lancement","Être notifié du lancement"
"ar","apropos.title_transmission","Transmission"
"ar","apropos.description_prserver_transmettre_riche","Préserver et transmettre le riche patrimoine culturel algérien aux générations futures."
"ar","apropos.title_accessibilit","Accessibilité"
"ar","apropos.description_rendre_culture_accessible","Rendre la culture accessible à tous, sans barrières géographiques ou économiques."
"ar","apropos.title_visibilit_locale_internationale","Visibilité locale & internationale"
"ar","apropos.description_mettre_lumire_richesse","Mettre en lumière la richesse culturelle algérienne sur la scène mondiale."
"ar","apropos.propos_culture_algrie","À propos de Culture Algérie"
"ar","apropos.notre_mission","Notre Mission"
"ar","apropos.culture_algrie_est","Culture Algérie est une initiative indépendante portée par des passionnés 
                  de patrimoine, de littérature, de cinéma et d'art algérien."
